Rank,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
40,Coldcut,Mickey Finn,Graham Gold,Andy Farley,Bad Boy Bill,Scott Bond,Dave Seaman,Danny Tenaglia,DJ Vibe,Ricky Stone,DJ Vibe,Bob Sinclar,Christopher Lawrence,Kyau & Albert,D-Block & S-Te-Fan,Porter Robinson,Martin Garrix
41,Boy George,Pete Wardman,Andy Morris,Jeff Mills,Anne Savage,John Kelly,Sven Vath,Gabriel & Dresden,Kai Tracid,Astrix,Tiga,Deep Dish,Eddie Halliwell,DJ Feel,Coone,Wildstylez,Porter Robinson
42,Paul Van Dyk,Deep Dish,Laurent Garnier,Steve Thomas,John Kelly,Tom Stephan,Gabriel & Dresden,Marco Carola,Bad Boy Bill,Roger Sanchez,Steve Lawler,Mark Knight,Simon Patterson,Moonbeam,Steve Aoki,Angerfist,Ferry Corsten
43,DJ Randall,CJ Mackintosh,Francois K,Lottie,Guy Ornadel,Anthony Pappa,Fatboy Slim,Nick Warren,Tall Paul,Bad Boy Bill,Danny Tenaglia,Astrix,Offer Nissim,Joachim Garraud,Cosmic Gate,Infected Mushroom,Chuckie
44,Darren Emerson,David Holmes,Deep Dish,Sven Vath,Christopher Lawrence,Scot Project,James Lavelle,Richie Hawtin,Tiga,Sven Vath,Ronski Speed,Marco V,Judge Jules,Daft Punk,Bobina,Daft Punk,Krewella
45,Dave Clarke,Tuff Jam,Anthony Pappa,Lee Burridge,David Morales,Terry Francis,Umek,Laurent Garnier,Yahel,The Thrillseekers,Nic Fanciulli,The Thrillseekers,Sean Tyas,Lange,Richie Hawtin,Carl Cox,Coone
46,Paul Trouble Anderson,Francois K,Freddy Fresh,David Morales,DJ Dan,Lisa Pin-up,Seb Fontaine,Pete Tong,Andy Moor,Donald Glaude,Steve Angello,Laidback Luke,Dubfire,Sean Tyas,Eric Prydz,Nervo,Carl Cox
47,Dougal,Chris Liberator,Coldcut,John 00 Fleming,Laurent Garnier,Guy Ornadel,ATB,Jeff Mills,Ricardo Villalobos,DJ Vibe,Nick Warren,Danny Tenaglia,Martin Solveig,Eddie Halliwell,Zatox,Pete The Zouk,Bobina
48,Mrs Wood,Dave Pearce,CJ Mackintosh,Jon Pleased Wimmin,Sister Bliss,Dave Lee,Anne Savage,Satoshi Tomiie,Ricky Stone,Kyau & Albert,Matt Hardwick,Menno De Jong,Sven Vath,Erick Morillo,Tydi,Martin Solveig,Omnia
49,Frankie Knuckles,Jon Carter,Andy Weatherall,Adam Freeland,John 00 Fleming,Timo Maas,Misstress Barbara,Misstress Barbara,Pete Tong,Chris Liebing,Ricardo Villalobos,Marco Lenzi,Richard Durand,James Zabiela,Orjan Nilsen,Brennan Heart,Orjan Nilsen
50,Danny Tenaglia,Dimitri From Paris,Erick Morillo,Guy Ornadel,Hernan Cattaneo,Lottie,M.I.K.E. Push,Adam Beyer,Martin Garcia,Tiga,James Holden,Andy C,Marco V,Umek,Andy Moor,Tenishia,Zatox
51,Lord G,Billy Nasty,DJ Disciple,Gilles Peterson,Jeff Mills,Matt Hardwick,Lange,Fatboy Slim,Frank Trax,Matt Darey,Mark Knight,Offer Nissim,Kaskade,Paul Oakenfold,Roger Shah,Zedd,Gareth Emery
52,Mickey Finn,Dave Angel,Dave Angel,Yousef,BK,Christopher Lawrence,Hybrid,John 00 Fleming,Timo Maas,Bob Sinclar,The Thrillseekers,Martin Solveig,Tydi,Matt Darey,John O'Callaghan,Eric Prydz,Bingo Players
53,Jon Carter,Colin Dale,Mr Scruff,Dave Pearce,Sven Vath,Yousef,Darren Emerson,Plump DJs,Laurent Garnier,James Holden,Marco Bailey,Adam Sheridan,Erick Morillo,Mark Knight,Astrix,Bobina,Infected Mushroom
54,Dave Angel,Frankie Knuckles,Brandon Block,Jimpy,Mario Piu,Laurent Garnier,Andy Farley,David Morales,Desyn Masiello,Lange,Anderson Noise,Sean Tyas,Matt Darey,Richard Durand,Erick Morillo,Madeon,Eric Prydz
55,Pete Wardman,DJ Sy,Jeff Mills,Basement Jaxx,Lottie,Sven Vath,Lady Dana,Umek,Victor Calderone,Wrecked Machines,Lange,DJ Feel,Astrix,Martin Solveig,John Digweed,John O'Callaghan,Tommy Trash
56,Queen Maxine,Sven Vath,John 00 Fleming,Jon Carter,Donald Glaude,Jeff Mills,Max Graham,Lee Burridge,Lisa Lashes,Dion Mavath,Offer Nissim,Yahel,Menno De Jong,Tydi,Wolfgang Gartner,DJ Feel,Wildstylez
57,Matt Jam Lamont,Coldcut,Dave Pearce,DJ Sneak,Mark Farina,Johan Gielen,BK,Dave Seaman,Johan Gielen,Pete Tong,Kyau & Albert,Roger Sanchez,The Thrillseekers,Hernan Cattaneo,DJ Feel,Steve Angello,Arty
58,John Kelly,Darren Emerson,Jon Carter,Gordon Kaye,JFK,Hype,Timo Maas,Fergie,Matt Hardwick,Danny Tenaglia,Justice,Roger Shah,Nick Warren,Sven Vath,Showtek,Omnia,R3hab
59,Sister Bliss,Alex P,Fabio,DJ EZ,Adam Freeland,DJ Marky,Jon Carter,Matt Hardwick,Misstress Barbara,George Acosta,Matt Darey,Sander Kleinenberg,Dirty South,Astrix,Richard Durand,Umek,Madeon
60,Miss Jo Lively,Slipmatt,Steve Thomas,Parks and Wilson,Hype,JFK,Lisa Pin-up,Slacker,Fergie,Blank & Jones,Timo Maas,John O'Callaghan,Roger Sanchez,Super8 & Tab,Umek,Wolfgang Gartner,Vicetone
61,Blu Peter,Hixxy,Darren Pearce,Francois K,LTJ Bukem,Andy Farley,Danny Rampling,DJ Luna,Armand Van Helden,DJ Sammy,Danny Howells,Blank & Jones,Mark Knight,Andy C,DJ Skazi,AN21,Brennan Heart
62,Karl Tuff Enuff Brown,Tony Humphries,Ashley Beedle,Sister Bliss,Yousef,Plump DJs,Mr Scruff,M.I.K.E. Push,Michel De Hey,Joachim Garraud,Menno De Jong,Cosmic Gate,Wally Lopez,Myon & Shane 54,Paul Kalkbrenner,Tommy Trash,DJ Feel
63,Doc Scott,Derrick May,DJ Rap,BK,Dieselboy,Layo & Bushwacka,DJ Rush,DJ Rush,Fatboy Slim,Timo Maas,Bob Sinclar,Steve Angello,Leon Bolier,Marcel Woods,Sasha,Francis Davila,Gunz For Hire
64,Ian Ossia,Harvey,Roni Size,Tidy Boys,Dave Pearce,Jimmy Van M,Matt Hardwick,Max Graham,Jeff Mills,Matt Hardwick,John Acquaviva,Simon Patterson,Blank & Jones,Roger Sanchez,Eddie Halliwell,D-Block & S-Te-Fan,Diplo
65,Scott Bond,John Peel,Todd Terry,Scott Bond,Andy Farley,Norman Jay,Adam Beyer,Michel De Hey,DJ Rush,Frank Trax,Agnelli & Nelson,Gabriel & Dresden,Justice,Wally Lopez,Moonbeam,Tritonal,Tenishia
66,Alex P,Dave Clarke,Tom Middleton,Sonique,Plump DJs,X-Press 2,Anthony Pappa,Victor Calderone,Flash Brothers,Steve Angello,Fatboy Slim,Richard Durand,Laurent Wolf,Mat Zo,Myon & Shane 54,Bingo Players,Noisecontrollers
67,Mark Moore,Matt Cantor,Carl Craig,Brandon Block,Lisa Pin-up,Chris Fortier,Scot Project,2manyDJs,Adam Beyer,Danny Howells,Andy C,Laurent Wolf,Astral Projection,Marco V,Judge Jules,Psyko Punkz,Mike Candys
68,CJ Mackintosh,Ashley Beedle,DJ Shadow,Derrick May,Tidy Boys,Tidy Boys,Donald Glaude,DJ Hercio,Donald Glaude,Simon Posford,Ricky Stone,Matt Hardwick,Boys Noize,Leon Bolier,Matt Darey,Shogun,Antoine
69,Chris & James,Paul Trouble Anderson,Pete Heller,Frankie Knuckles,Dave Lee,Tall Paul,Rob Tissera,Kai Tracid,Dave Seaman,John Graham,Donald Glaude,Chris Leibing,Ronski Speed,Ronski Speed,Paul Oakenfold,Paul Oakenfold,Quentin Mosimann
70,Justin Robertson,Chris & James,Darren Emerson,BT,Ashley Casselle,BK,Yoji Biomehanika,Junior Jack,Andy C,Desyn Masiello,Desyn Masiello,Erick Morillo,Sander Kleinenberg,Wolfgang Gartner,Alesso,Benny Benassi,Project 46
71,Norman Jay,Doc Scott,Derrick May,Rachel Aubern,Krafty Kuts,Danny Rampling,Andy C,Flash Brothers,Chus & Ceballos,Mauro Picotto,Daft Punk,DJ Hype,Ricardo Villalobos,W & W,Mark Knight,Tydi,Blasterjaxx
72,Goldie,Mixmaster Mike,DJ Sneak,D.A.V.E the Drummer,DJ Sneak,Alan Thompson,Bad Boy Bill,Aphrodite,John 00 Fleming,Menno De Jong,Martin Solveig,Signum,Chuckie,Boys Noize,Sean Tyas,Mat Zo,D-Block & S-Te-Fan
73,Sharkey,Roni Size,Pippi,Mark Farina,Jon Pleased Wimmin,Mark Farina,Blank & Jones,Felix Da Housecat,Satoshi Tomiie,BT,BT,Justice,Sharam,D-Block & S-Te-Fan,Mat Zo,R3hab,Dillon Francis
74,Angel Moraes,Derrick Carter,Patrick Forge,Craig Richards,Nick Sentience,Krafty Kuts,Tidy Boys,Tidy Boys,DJ Tatana,Scott K,Chris Liebing,Dirty South,Marcel Woods,Dubfire,Lange,Quentin Mosimann,Dannic
75,David Holmes,Jon Pleased Wimmin,Sonique,The Chemical Brothers,Chris Liberator,Dave Pearce,Lottie,BK,Astrix,Tall Paul,Valentino Kanzyani,Wally Lopez,Lisa Lashes,Dirty South,Joachim Garraud,Wasted Penguinz,Adaro
76,Hixxy,DJ Heaven,Alex P,Jimmy Van M,BT,Misstress Barbara,James Holden,Miss Kittin,Lee Burridge,M.I.K.E. Push,Trentemoller,Magda,Moonbeam,John B,Simon Patterson,Dirty South,Richie Hawtin
77,DJ Rap,Q-Bert,Ferry Corsten,Norman Jay,Armand Van Helden,Zinc,Felix Da Housecat,Benjamin Bates,M.I.K.E. Push,Filo & Peri,Jeff Mills,Lisa Lashes,Rank 1,Daniel Kandi,Francis Davila,Andrew Rayel,Martin Solveig
78,CJ Bolland,Smokin Jo,Hype,Christopher Lawrence,Stonebridge,Frankie Knuckles,Gilles Peterson,Dave Pearce,Lady Dana,DJ Tarkan,John Graham,Pete Tong,Sebastien Leger,Arty,Psyko Punkz,Richie Hawtin,Felguk
79,Sven Vath,Fabio,Terry Francis,Armand Van Helden,Tony Humphries,David Morales,Mark Farina,Anne Savage,Umek,Anderson Noise,Robbie Rivera,DJ Vibe,Marcus Schossow,BT,Dimitri Vegas & Like Mike,Frontliner,Myon & Shane 54
80,DJ Die,Anthony Pappa,John Peel,Mark Moore,Steve Thomas,Stanton Warriors,Paul Glazby,DJ Vibe,Nic Fanciulli,Fatboy Slim,The Chemical Brothers,Bad Boy Bill,Steve Lawler,Boy George,Wildstylez,Myon & Shane 54,Cosmic Gate
81,Funkmaster Flex,Ariel,Queen Maxine,Hype,Justin Robertson,Ashley Casselle,Jonathan Lisle,Cosmic Gate,Rank 1,Serge Devant,Luciano,Tiddey,DJ Skazi,Pete The Zouk,Roger Sanchez,Heatbeat,Heatbeat
82,Sonique,Lisa Loud,Brisk,Sander Kleinenberg,Joe Clausell,Mario Piu,David Morales,Derrick Carter,BT,Umek,Hype,Greg Downey,Super8 & Tab,Fatboy Slim,Hernan Cattaneo,Thomas Gold,John O'Callaghan
83,Steve Thomas,Andy C,Paul Trouble Anderson,Dave Lee,Brandon Block,Max Graham,BT,Ronski Speed,Anne Savage,Victor Calderone,Lisa Lashes,Marcel Woods,Pete Tong,DJ Skazi,Tritonal,Nero,Wasted Penguinz
84,Derrick May,DJ Crust,Harvey,Bad Boy Bill,Mr Scruff,Tim Deluxe,Tim Deluxe,Armand Van Helden,Luke Fair,Darude,Filo & Peri,Nick Warren,Tocadisco,Paul Kalkbrenner,DJ Vibe,Roger Shah,Tiddey
